Date,CN_Diag_WOM,CN_Diag_CSSE,CN_Onset_WHO,CN_Diag_WHO,IT_Diag
1/1/2020,0,0,50,0,0
1/2/2020,0,0,50,0,0
1/3/2020,0,0,50,0,0
1/4/2020,0,0,50,0,0
1/5/2020,0,0,70,0,0
1/6/2020,0,0,50,0,0
1/7/2020,0,0,80,0,0
1/8/2020,0,0,120,0,0
1/9/2020,0,0,100,0,0
1/10/2020,0,0,190,0,0
1/11/2020,0,0,190,0,0
1/12/2020,0,0,210,0,0
1/13/2020,0,0,290,0,0
1/14/2020,0,0,300,0,0
1/15/2020,0,0,490,0,0
1/16/2020,0,0,560,0,0
1/17/2020,0,0,720,0,0
1/18/2020,0,0,790,0,0
1/19/2020,0,0,950,0,0
1/20/2020,0,0,1500,0,0
1/21/2020,0,0,1690,80,0
1/22/2020,0,0,2180,280,0
1/23/2020,259,95,2670,320,0
1/24/2020,457,277,2930,620,0
1/25/2020,688,486,2890,920,0
1/26/2020,769,669,3030,900,0
1/27/2020,1771,802,2970,1110,0
1/28/2020,1459,2632,2920,1480,0
1/29/2020,1737,578,2620,1620,0
1/30/2020,1981,2054,2600,1880,0
1/31/2020,2099,1661,2450,2120,2
2/1/2020,2589,2089,3700,2550,0
2/2/2020,2825,4739,2300,2750,0
2/3/2020,3235,3086,2000,3120,0
2/4/2020,3884,3991,1880,3700,0
2/5/2020,3694,3733,1790,3550,0
2/6/2020,3143,3147,1390,3150,0
2/7/2020,3385,3523,1320,3320,1
2/8/2020,2652,2704,1070,2580,0
2/9/2020,2973,3015,920,3610,0
2/10/2020,2467,2525,940,2900,0
2/11/2020,2015,2032,700,2410,0
2/12/2020,14108,373,650,2110,0
2/13/2020,5090,15136,620,2060,0
2/14/2020,2641,6463,420,1480,0
2/15/2020,2008,2055,380,1090,0
2/16/2020,2048,2100,300,980,0
2/17/2020,1888,1921,300,1000,0
2/18/2020,1749,1777,350,1090,0
2/19/2020,391,408,170,630,0
2/20/2020,889,458,90,630,1
2/21/2020,823,473,90,820,17
2/22/2020,648,1451,0,0,42
2/23/2020,214,21,0,0,93
2/24/2020,508,219,0,0,74
2/25/2020,406,513,0,0,93
2/26/2020,433,412,0,0,130
2/27/2020,327,434,0,0,202
2/28/2020,427,328,0,0,233
2/29/2020,573,428,0,0,240
3/1/2020,202,576,0,0,566
3/2/2020,125,204,0,0,342
3/3/2020,119,125,0,0,466
3/4/2020,139,125,0,0,587
3/5/2020,143,151,0,0,769
3/6/2020,99,153,0,0,778
3/7/2020,44,80,0,0,1247
3/8/2020,40,53,0,0,1492
3/9/2020,19,37,0,0,1797
3/10/2020,24,27,0,0,1577
3/11/2020,15,34,0,0,1713
3/12/2020,20,11,0,0,2651
3/13/2020,11,13,0,0,2547
3/14/2020,20,32,0,0,3497
3/15/2020,16,26,0,0,3590
3/16/2020,21,30,0,0,3233
3/17/2020,13,25,0,0,3526
3/18/2020,34,44,0,0,4207
3/19/2020,39,54,0,0,5322
3/20/2020,41,94,0,0,5986
3/21/2020,46,55,0,0,6557
3/22/2020,39,130,0,0,5560
3/23/2020,78,63,0,0,4789
3/24/2020,47,93,0,0,5249
3/25/2020,67,70,0,0,5210
3/26/2020,55,121,0,0,6203
3/27/2020,54,115,0,0,5909
3/28/2020,45,102,0,0,5974
3/29/2020,0,123,0,0,5217
3/30/2020,79,76,0,0,4050
3/31/2020,0,0,0,0,4053
4/1/2020,0,0,0,0,0
4/2/2020,0,0,0,0,0
4/3/2020,0,0,0,0,0
4/4/2020,0,0,0,0,0
4/5/2020,0,0,0,0,0
4/6/2020,0,0,0,0,0
4/7/2020,0,0,0,0,0
4/8/2020,0,0,0,0,0
